date,low_vol_prob,high_vol_prob,state,open,high,low,close,volume,simple_ret,log_ret
2020-10-06,0.9999032406097782,9.6759390100352e-05,0,49.12,49.79,47.86,47.88,4474717,-0.0144092219020172,-0.0145140428842539
2020-10-07,0.9999259947176518,7.400528237758375e-05,0,48.45,49.06,48.0,48.3,4506471,0.0087719298245612,0.0087336799687544
2020-10-08,0.9999181390601117,8.186093967988106e-05,0,48.62,49.41,48.4759,49.38,2962044,0.0223602484472051,0.0221139232585066
2020-10-09,0.9999386558264404,6.134417340603777e-05,0,49.8,50.09,48.7,49.36,4473120,-0.0004050222762252,-0.0004051043199011
2020-10-12,0.9999310183535413,6.898164635359643e-05,0,49.4,49.5,48.2622,48.58,3005701,-0.0158022690437601,-0.0159284560231059
2020-10-13,0.9999280721770988,7.192782305547157e-05,0,48.48,48.98,47.8,47.88,6832232,-0.0144092219020172,-0.0145140428842539
2020-10-14,0.9999206865881991,7.931341159543194e-05,0,47.84,48.9699,47.42,48.83,5323887,0.0198412698412697,0.0196469973837964
2020-10-15,0.9999272063598711,7.279364006740058e-05,0,47.88,49.075,47.84,49.01,2793820,0.0036862584476755,0.0036794808478871
2020-10-16,0.9998942008352111,0.00010579916466908849,0,49.37,49.995,49.13,49.3,2754650,0.0059171597633136,0.0058997221271883
2020-10-19,0.9997802971640664,0.00021970283612864837,0,49.33,50.33,48.74,48.84,2903457,-0.0093306288032453,-0.0093744318061403
2020-10-20,0.9994639301374306,0.0005360698626440578,0,49.35,50.15,49.21,49.34,2504534,0.0102375102375102,0.0101854618587067
2020-10-21,0.9985782615584995,0.0014217384415318322,0,49.38,49.715,48.55,48.55,4092535,-0.0160113498175923,-0.0161409163638768
2020-10-22,0.9965572695547767,0.003442730445283712,0,49.81,50.16,47.15,48.82,5247621,0.0055612770339856,0.0055458702274801
2020-10-23,0.990409271121517,0.009590728878470635,0,49.52,49.9499,48.41,48.53,3123429,-0.0059401884473576,-0.0059579015476892
2020-10-26,0.9720525917600658,0.027947408240094698,0,47.94,48.14,46.8168,47.15,4026350,-0.028436018957346,-0.0288481543376583
2020-10-27,0.9498703090941476,0.05012969090566886,0,46.92,47.19,46.39,46.57,4141156,-0.0123011664899257,-0.0123774520851806
