low_vol,high_vol
0.9999776508339883,2.234916594651787e-05
0.9999680619833118,3.193801674646154e-05
0.9999775256789536,2.2474321128524846e-05
0.9999804702912887,1.9529708846683074e-05
0.9999783489763204,2.1651023695279032e-05
0.999969028206456,3.097179348172877e-05
0.9999364111595734,6.358884058803072e-05
0.9999151638748197,8.483612495708228e-05
0.9999484113369954,5.158866297056098e-05
0.9999712158187298,2.8784181280477223e-05
0.9999748679044785,2.5132095429138468e-05
0.999971942706254,2.8057293773386923e-05
0.9999614561172668,3.8543882519919454e-05
0.9999759767854606,2.4023214425787795e-05
0.9999784852616147,2.1514738310476765e-05
0.9999730759405137,2.6924059671147714e-05
0.99995100959085,4.899040916886609e-05
0.9998770903455101,0.0001229096547092378
0.9996592006354728,0.00034079936472924325
