timestamp,open,high,low,close,volume
2025-07-07,109217.98000000,109741.64000000,107507.00000000,108269.84000000,4455.08353019
2025-07-06,108246.66000000,109736.64000000,107837.70000000,109217.98000000,1651.18120197
2025-07-05,108028.60000000,108454.19000000,107783.10000000,108246.65000000,1513.15428554
2025-07-04,109628.83000000,109812.94000000,107268.84000000,108028.60000000,3129.21859997
2025-07-03,108887.03000000,110590.00000000,108574.31000000,109628.83000000,6434.57921608
2025-07-02,105711.77000000,109823.08000000,105119.70000000,108888.32000000,7995.79258367
2025-07-01,107173.21000000,107579.30000000,105262.00000000,105711.78000000,5152.72760186
2025-06-30,108386.44000000,108800.00000000,106724.76000000,107173.21000000,4839.04838063
2025-06-29,107352.20000000,108550.00000000,107230.00000000,108386.44000000,2154.86170312
2025-06-28,107119.17000000,107599.81000000,106868.94000000,107352.20000000,1227.76803255
2025-06-27,107029.63000000,107804.20000000,106413.79000000,107113.38000000,6310.43715745
2025-06-26,107400.22000000,108345.00000000,106605.88000000,107029.64000000,4900.22231656
2025-06-25,106141.01000000,108206.00000000,105875.00000000,107400.22000000,7072.65636297
2025-06-24,105418.40000000,106366.29000000,104681.83000000,106141.00000000,5773.20907668
2025-06-23,100996.87000000,106135.47000000,99677.07000000,105419.39000000,8910.86676597
2025-06-22,102160.36000000,103417.00000000,98225.01000000,100996.87000000,7872.25874446
2025-06-21,103317.79000000,104013.64000000,100919.19000000,102160.03000000,3287.51327489
2025-06-20,104671.40000000,106553.86000000,102357.25000000,103317.80000000,5047.63626176
2025-06-19,104915.60000000,105266.61000000,103916.37000000,104671.90000000,2279.05842007
2025-06-18,104590.44000000,105603.63000000,103512.38000000,104915.60000000,4918.14382744
2025-06-17,106853.38000000,107792.90000000,103363.30000000,104590.44000000,7688.94642443
2025-06-16,105600.21000000,109000.00000000,104982.26000000,106853.38000000,5952.98369341
2025-06-15,105465.42000000,106184.13000000,104505.05000000,105599.25000000,1722.80945227
2025-06-14,106114.53000000,106264.36000000,104351.72000000,105465.42000000,2256.48702523
2025-06-13,105716.45000000,106233.00000000,102746.01000000,106118.70000000,7441.52465913
2025-06-12,108673.77000000,108853.74000000,105706.78000000,105721.05000000,5734.67136139
2025-06-11,110300.25000000,110435.05000000,108091.74000000,108669.37000000,4603.33244460
2025-06-10,110299.69000000,110420.08000000,108362.14000000,110300.24000000,5433.67169370
